he	en
אפשר להמשיך בעוד כ-{0} שעות.	You can go on in about {0} hours.
אפשר להמשיך מחר.	You can go on tomorrow.
לא הוגדר מפתח ל	No key is set for
המפתח של {0} לא תקין, או שפג תוקפו.	The {0} key isn't valid, or it has expired.
המכסה של {0} נגמרה לעכשיו.	The {0} quota has run out for now.
קטע השמע גדול מדי לשירות.	The audio section is too big for the service.
השרת של {0} לא זמין כרגע. אפשר לנסות שוב בעוד כמה דקות.	The {0} server isn't available right now. You can try again in a few minutes.
אין חיבור לאינטרנט, או שהשירות חסום ברשת הזאת.	No internet connection, or the service is blocked on this network.
{0} החזיר שגיאה {1}{2}	{0} returned error {1}{2}
התשובה חזרה בלי זמנים.	The answer came back without times.

# ---- Style.cs ----
 · מודגש	 · bold
 · רקע מלא	 · solid box

# ---- Timeline.cs ----
{0} כתוביות · התקרבו כדי לערוך אותן	{0} subtitles · zoom in to edit them
עריכת תזמון	Edit timing
הוספת כתובית	Add subtitle
מכין את פס הקול...  {0}%	Preparing the waveform...  {0}%
כאן יופיע ציר הזמן של הסרט	The video's timeline will appear here
פתחו קובץ וידאו או אודיו כדי להתחיל	Open a video or audio file to start
אפשר גם לגרור כאן	You can also drag it here
כניסה	In
יציאה	Out

# ---- Transcribe.cs ----
מנוע הווידאו לא זמין.	The video engine isn't available.
לא הצלחתי לקרוא את אורך הקובץ.	Couldn't read the length of the file.
מתמלל {0} מתוך {1}	Transcribing {0} of {1}
ממתין למכסה של {0} ({1} שניות)…	Waiting for the {0} quota ({1} seconds)…
מסיים…	Finishing…

{0} לא החזיר טקסט, למרות שיש בקובץ קול. אפשר לנסות שוב, או לתמלל דרך השירות השני.	{0} returned no text, though the file has sound. Try again, or transcribe with the other service.
# ---- UiKit.cs ----
סגור	Close

# ---- Updater.cs ----
לא נמצאה אף גרסה במאגר.	No version was found in the repository.
תשובה לא מובנת מהמאגר: {0}	The repository sent an answer that couldn't be understood: {0}
תשובה לא מובנת מהמאגר.	The repository sent an answer that couldn't be understood.
לא נמצאה גרסה במאגר.	No version was found in the repository.
אין קובץ להורדה	No file to download
בשחרור הזה לא צורף קובץ.	No file was attached to this release.
העדכון מגיע כמתקין	The update comes as an installer
בגרסה הזאת פורסם רק קובץ התקנה. אפשר לפתוח את דף ההורדה ולהחליט.	Only an installer was published for this version. You can open the download page and decide.
לפתוח את הדף	Open the page
מוריד את הגרסה {0}	Downloading version {0}
העדכון נכשל	The update failed
העדכון לא הצליח	The update didn't work
ההורדה נקטעה באמצע. אפשר לנסות שוב.	The download was cut off. You can try again.
הקובץ שהתקבל קטן מדי - ההורדה נכשלה.	The file received is too small - the download failed.
הקובץ שירד לא זהה לגרסה שפורסמה. אפשר לנסות שוב.	The downloaded file doesn't match the published version. You can try again.
הקובץ לא נמצא בשרת. אפשר לנסות שוב מאוחר יותר.	The file wasn't found on the server. You can try again later.
לא הצלחתי להחליף את הקובץ	Couldn't replace the file
הגרסה החדשה ירדה, אבל לא הצלחתי להחליף את הקובץ הקיים.	The new version was downloaded, but the existing file couldn't be replaced.
אפשר לסגור את התוכנה ולהעתיק את הקובץ החדש במקום הישן.	You can close the program and copy the new file over the old one.
לפתוח את התיקייה	Open the folder
על התוכנה	About
Subtext · אולפן הכתוביות · גרסה {0}	Subtext · Subtitle Studio · version {0}
תוכנה חופשית ליצירה, לתיקון ולהטמעה של כתוביות בעברית.	A free program to make, fix and embed subtitles - with full Hebrew support.
רצה בלי התקנה ובלי אינטרנט - הכול נמצא בתוך הקובץ הזה.	Runs without installing and without internet - everything is inside this one file.
הפעולות היחידות שיוצאות החוצה הן התרגום, התמלול והעוזר.	The only actions that go online are translation, transcription and the assistant.
גרסה	Version
גרסה {0}   ·   {1}   ·   {2}	Version {0}   ·   {1}   ·   {2}
עותק מותקן	Installed copy
עותק נייד	Portable copy
לחצו ״בדיקת עדכון״ כדי לראות אם יצאה גרסה חדשה.	Click “Check for updates” to see if a new version is out.
נבדק לאחרונה: {0}	Last checked: {0}
העתקת פרטי הגרסה	Copy the version details
רישיון	Licence
הקוד של התוכנה חופשי (רישיון {0}) - מותר לקחת אותו,\r\nלשנות ולבנות ממנו מה שרוצים. מנוע הווידאו {1} מגיע ברישיון {2},\r\nהגופן {3} ברישיון {4}, ומילון האיות (יורד בנפרד) ברישיון {5}.\r\nהנוסח המלא של כולם נמצא בתוך הקובץ.	The code is free (licence {0}): take it, change it and build on it as you like.\r\nThe video engine {1} is under {2}, the font {3} under {4},\r\nand the spelling dictionary (downloaded separately) under {5}.\r\nThe full texts are inside the file.
שמירת נוסח הרישיונות לתיקייה	Save the licence texts to a folder
קוד ותמיכה	Code and support
קוד המקור באינטרנט	Source code online
דיווח על תקלה או בקשה	Report a problem or ask for something
יומן השינויים המלא	Full changelog
בדיקת עדכון עכשיו	Check for updates now
הועתק	Copied
לא הועתק	Not copied
לאן לשמור את נוסחי הרישיון?	Where to save the licence texts?
נכתבו {0} קבצים אל\r\n{1}	Wrote {0} files to\r\n{1}
לא נמצאו נוסחי רישיון בקובץ.	No licence texts were found in the file.
למחוק את מנוע הווידאו?	Delete the video engine?
התוכנה תפרוס אותו מחדש בהפעלה הבאה (כמה שניות).	The program will set it up again at the next start (a few seconds).
נמחק	Deleted
לא הצלחתי לבדוק כרגע.	Couldn't check right now.
הגרסה שלכם היא העדכנית ביותר.	You have the latest version.
חשוב לדעת	Good to know
מה חדש	What's new
תיקונים	fixes
ועוד {0}	Plus {0}
תוספת אחת	one addition
תוספות	additions
{0} ושיפורים	{0} and improvements
תיקון אחד	One fix
העיקר שנוסף	The main additions
מה השתנה בגרסה {0}	What changed in version {0}
דילגתם על {0} ({1} ← {2}) — הנה העיקר	You skipped {0} ({1} → {2}) — here's what matters
גרסה אחת	one version
גרסאות	versions

# ---- VideoPreview.cs ----
גררו לכאן סרט	Drag a video here
או לחצו למעלה על ״פתיחת סרט״	or click “Open” at the top
קובץ אודיו בלבד	Audio file only

# ---- no longer in the source (kept in case it comes back) ----
#~ he	en
